Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
858,Battlefield 4,XOne,2013-01-01,Shooter,Electronic Arts,1.25,0.58,0.0,1.98
860,Dragon Age: Inquisition,PS4,2014-01-01,Role-Playing,Electronic Arts,0.72,0.86,0.08,1.97
907,Destiny: The Taken King,PS4,2015-01-01,Shooter,Activision,0.77,0.78,0.04,1.91
947,World of Warcraft: Mists of Pandaria,PC,2012-01-01,Role-Playing,Activision,0.84,0.76,0.0,1.83
1024,Diablo III,PS4,2014-01-01,Role-Playing,Activision,0.49,0.88,0.06,1.74
1028,Overwatch,PS4,2016-01-01,Shooter,Activision,0.64,0.68,0.14,1.73
1039,Call of Duty: Modern Warfare 3,PC,2011-01-01,Shooter,Activision,0.41,0.98,0.0,1.72
1094,StarCraft II: Heart of the Swarm,PC,2013-01-01,Strategy,Activision,0.82,0.65,0.0,1.67
1149,Far Cry 4,XOne,2014-01-01,Shooter,Ubisoft,0.79,0.68,0.01,1.61
1204,Watch Dogs,XOne,2014-01-01,Action,Ubisoft,0.9,0.53,0.0,1.55
1214,Warcraft III: The Frozen Throne,PC,2003-01-01,Strategy,Activision,0.58,0.87,0.0,1.54
1219,Call of Duty: Black Ops II,PC,2012-01-01,Shooter,Activision,0.63,0.69,0.0,1.53
1322,Anno 2070,PC,2011-01-01,Strategy,Ubisoft,0.0,1.13,0.0,1.45
1388,Battlefield 4,PC,2013-01-01,Shooter,Electronic Arts,0.38,0.86,0.0,1.4
1465,Command & Conquer: Red Alert 2,PC,2000-01-01,Strategy,Electronic Arts,1.32,0.02,0.0,1.34
1488,World of Warcraft: Wrath of the Lich King,PC,2008-01-01,Role-Playing,Activision,0.01,0.13,0.0,1.32
1533,Tom Clancy's Rainbow Six: Siege,XOne,2015-01-01,Shooter,Ubisoft,0.73,0.44,0.0,1.29
1545,Assassin's Creed Syndicate,XOne,2015-01-01,Action,Ubisoft,0.61,0.56,0.0,1.28
1674,Battlefield: Hardline,XOne,2015-01-01,Shooter,Electronic Arts,0.72,0.37,0.01,1.2
1719,Spore,PC,2008-01-01,Strategy,Electronic Arts,0.03,1.06,0.0,1.17
1739,Destiny: The Taken King,XOne,2015-01-01,Shooter,Activision,0.82,0.23,0.0,1.17
1771,Call of Duty 4: Modern Warfare,PC,2007-01-01,Shooter,Activision,0.0,1.12,0.0,1.15
2108,Far Cry 3,PC,2012-01-01,Shooter,Ubisoft,0.21,0.62,0.0,0.98
2133,Mass Effect 3,PC,2012-01-01,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.97
2204,Assassin's Creed III,PC,2012-01-01,Action,Ubisoft,0.28,0.53,0.0,0.94
2294,Dragon Age: Inquisition,XOne,2014-01-01,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.91
2349,Call of Duty: Modern Warfare 2,PC,2009-01-01,Shooter,Activision,0.01,0.79,0.0,0.89
2436,Far Cry: Primal,XOne,2016-01-01,Action,Ubisoft,0.46,0.32,0.0,0.85
2446,Overwatch,XOne,2016-01-01,Shooter,Activision,0.52,0.25,0.0,0.85
2714,Assassin's Creed: Revelations,PC,2011-01-01,Action,Ubisoft,0.14,0.48,0.0,0.76
2781,Crysis 2,PC,2011-01-01,Action,Electronic Arts,0.16,0.45,0.0,0.74
2799,Call of Duty: Ghosts,PC,2013-01-01,Shooter,Activision,0.23,0.41,0.0,0.73
2810,Dragon Age: Inquisition,PC,2014-01-01,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.73
2857,Crysis,PC,2007-01-01,Shooter,Electronic Arts,0.0,0.69,0.0,0.72
2858,Battlefield: Bad Company 2,PC,2010-01-01,Shooter,Electronic Arts,0.19,0.53,0.0,0.71
2963,Assassin's Creed IV: Black Flag,PC,2013-01-01,Action,Ubisoft,0.22,0.38,0.0,0.69
2974,Plants vs. Zombies: Garden Warfare,XOne,2014-01-01,Shooter,Electronic Arts,0.39,0.23,0.0,0.68
3003,Mass Effect,PC,2008-01-01,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.68
3042,Command & Conquer: Red Alert 3,PC,2008-01-01,Strategy,Electronic Arts,0.01,0.64,0.0,0.67
3134,Crysis 3,PC,2013-01-01,Shooter,Electronic Arts,0.17,0.39,0.0,0.64
3138,Diablo III,XOne,2014-01-01,Role-Playing,Activision,0.35,0.24,0.0,0.64
3156,Dragon Age II,PC,2011-01-01,Action,Electronic Arts,0.23,0.33,0.0,0.64
3249,Far Cry 4,PC,2014-01-01,Shooter,Ubisoft,0.15,0.42,0.0,0.62
3289,Plants vs. Zombies: Garden Warfare,PS4,2014-01-01,Shooter,Electronic Arts,0.21,0.29,0.01,0.61
3384,Dead Space,PC,2008-01-01,Action,Electronic Arts,0.0,0.53,0.0,0.59
3392,Assassin's Creed: Brotherhood,PC,2011-01-01,Action,Ubisoft,0.15,0.34,0.0,0.59
3459,Titanfall,PC,2014-01-01,Shooter,Electronic Arts,0.21,0.3,0.0,0.58
3528,Assassin's Creed II,PC,2010-01-01,Action,Ubisoft,0.01,0.45,0.0,0.57
3658,Assassin's Creed: Unity,PC,2014-01-01,Action,Ubisoft,0.17,0.33,0.0,0.55
3666,The Amazing Spider-Man 2 (2014),PS4,2014-01-01,Action,Activision,0.2,0.25,0.02,0.55
3757,Star Wars Battlefront (2015),PC,2015-01-01,Shooter,Electronic Arts,0.13,0.37,0.0,0.54
3880,Dragon Age: Origins,PC,2009-01-01,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.51
3890,StarCraft II: Legacy of the Void,PC,2015-01-01,Strategy,Activision,0.18,0.29,0.0,0.51
3935,Rory McIlroy PGA Tour,PS4,2015-01-01,Action,Electronic Arts,0.18,0.24,0.0,0.51
4050,Medal of Honor,PC,2010-01-01,Shooter,Electronic Arts,0.2,0.23,0.0,0.49
4078,Far Cry 2,PC,2008-01-01,Action,Ubisoft,0.01,0.45,0.0,0.49
4335,Watch Dogs,PC,2014-01-01,Action,Ubisoft,0.14,0.26,0.0,0.45
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016-01-01,Shooter,Electronic Arts,0.17,0.21,0.0,0.45
4432,Plants vs. Zombies: Garden Warfare 2,XOne,2016-01-01,Shooter,Electronic Arts,0.26,0.15,0.0,0.44
4511,Overwatch,PC,2016-01-01,Shooter,Activision,0.22,0.18,0.0,0.43
4564,Skylanders: Trap Team,PS4,2014-01-01,Action,Activision,0.18,0.17,0.0,0.43
4742,Call of Duty: Advanced Warfare,PC,2014-01-01,Shooter,Activision,0.14,0.23,0.0,0.41
4775,FIFA Soccer 13,PC,2012-01-01,Action,Electronic Arts,0.02,0.31,0.0,0.41
4869,Mass Effect 2,PC,2010-01-01,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.4
5106,Tom Clancy's The Division,PC,2016-01-01,Shooter,Ubisoft,0.2,0.14,0.0,0.37
5153,Need for Speed: The Run,PC,2011-01-01,Action,Electronic Arts,0.09,0.21,0.0,0.37
5364,Skylanders: Trap Team,XOne,2014-01-01,Action,Activision,0.25,0.07,0.0,0.34
5487,Medal of Honor: Warfighter,PC,2012-01-01,Action,Electronic Arts,0.14,0.15,0.0,0.33
5575,Dead Space 2,PC,2011-01-01,Shooter,Electronic Arts,0.13,0.15,0.0,0.33
5621,The Settlers 7: Paths to a Kingdom,PC,2010-01-01,Strategy,Ubisoft,0.0,0.26,0.0,0.32
5623,TrackMania Turbo,PS4,2016-01-01,Action,Ubisoft,0.03,0.24,0.0,0.32
5702,Might & Magic Heroes VI,PC,2011-01-01,Role-Playing,Ubisoft,0.12,0.14,0.0,0.31
5788,Kingdoms of Amalur: Reckoning,PC,2012-01-01,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.31
5893,Skylanders: SuperChargers,PS4,2015-01-01,Action,Activision,0.17,0.08,0.0,0.3
6089,World of Warcraft: Legion,PC,2016-01-01,Role-Playing,Activision,0.14,0.12,0.0,0.29
6237,Mass Effect Trilogy,PC,2012-01-01,Action,Electronic Arts,0.09,0.16,0.0,0.28
6254,R.U.S.E.,PC,2010-01-01,Strategy,Ubisoft,0.04,0.19,0.0,0.28
6261,Deadpool,PS4,2015-01-01,Action,Activision,0.13,0.1,0.0,0.28
6428,Rory McIlroy PGA Tour,XOne,2015-01-01,Action,Electronic Arts,0.15,0.09,0.0,0.27
6745,Anno 2205,PC,2015-01-01,Strategy,Ubisoft,0.02,0.22,0.0,0.25
7021,Skylanders: SuperChargers,XOne,2015-01-01,Action,Activision,0.16,0.05,0.0,0.23
7052,Call of Duty: Black Ops 3,PC,2015-01-01,Shooter,Activision,0.0,0.22,0.0,0.23
7213,Tom Clancy's Rainbow Six: Siege,PC,2015-01-01,Shooter,Ubisoft,0.12,0.08,0.0,0.22
7256,Transformers: Devastation,PS4,2015-01-01,Action,Activision,0.1,0.08,0.0,0.22
7341,The Amazing Spider-Man 2 (2014),XOne,2014-01-01,Action,Activision,0.12,0.07,0.0,0.21
7386,Transformer: Rise of the Dark Spark,PS4,2014-01-01,Action,Activision,0.07,0.1,0.01,0.21
7563,Assassin's Creed Syndicate,PC,2015-01-01,Action,Ubisoft,0.1,0.08,0.0,0.2
7593,Angry Birds Star Wars,PS4,2013-01-01,Strategy,Activision,0.1,0.08,0.0,0.2
7684,South Park: The Stick of Truth,PC,2014-01-01,Role-Playing,Ubisoft,0.07,0.1,0.0,0.2
7828,Tom Clancy's Splinter Cell: Blacklist,PC,2013-01-01,Action,Ubisoft,0.04,0.13,0.0,0.19
7951,Call of Duty: World at War,PC,2008-01-01,Shooter,Activision,0.02,0.13,0.0,0.19
8129,Tom Clancy's Ghost Recon: Future Soldier,PC,2012-01-01,Shooter,Ubisoft,0.05,0.1,0.0,0.18
8618,Bulletstorm,PC,2011-01-01,Shooter,Electronic Arts,0.07,0.07,0.0,0.16
8673,Angry Birds Star Wars,XOne,2013-01-01,Strategy,Activision,0.11,0.04,0.0,0.16
9037,Dragon Age: Origins - Ultimate Edition,PC,2010-01-01,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.14
9057,Age of Empires: Collector's Edition,PC,2000-01-01,Strategy,Ubisoft,0.02,0.1,0.0,0.14
9064,The Orange Box,PC,2007-01-01,Shooter,Electronic Arts,0.0,0.11,0.0,0.14
9252,Far Cry: Primal,PC,2016-01-01,Action,Ubisoft,0.04,0.09,0.0,0.14
9291,Dragon Age Origins: Awakening,PC,2010-01-01,Role-Playing,Electronic Arts,0.01,0.1,0.0,0.14
9306,Battlefield: Hardline,PC,2015-01-01,Shooter,Electronic Arts,0.0,0.13,0.0,0.14
9371,Transformers: Devastation,XOne,2015-01-01,Action,Activision,0.09,0.03,0.0,0.13
9959,Deadpool,XOne,2015-01-01,Action,Activision,0.08,0.03,0.0,0.12
9972,Darkspore,PC,2011-01-01,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.12
10248,Call of Juarez: The Cartel,PC,2011-01-01,Shooter,Ubisoft,0.05,0.05,0.0,0.11
10331,Transformer: Rise of the Dark Spark,XOne,2014-01-01,Action,Activision,0.06,0.03,0.0,0.11
10349,Tom Clancy's Splinter Cell: Conviction,PC,2010-01-01,Action,Ubisoft,0.0,0.08,0.0,0.11
10489,Rome: Total War,PC,2004-01-01,Strategy,Activision,0.0,0.08,0.0,0.1
10574,Doom 3,PC,2004-01-01,Shooter,Activision,0.05,0.04,0.0,0.1
10598,[Prototype 2],PC,2012-01-01,Action,Activision,0.07,0.02,0.0,0.1
10645,Harry Potter and the Deathly Hallows - Part 1,PC,2010-01-01,Action,Electronic Arts,0.08,0.02,0.0,0.1
10653,Harry Potter and the Deathly Hallows - Part 2,PC,2011-01-01,Action,Electronic Arts,0.05,0.04,0.0,0.1
10782,Skylanders: Spyro's Adventure,PC,2011-01-01,Action,Activision,0.05,0.03,0.0,0.1
10893,The Crew: Wild Run,PS4,2015-01-01,Action,Ubisoft,0.0,0.08,0.0,0.09
10952,Black & White 2,PC,2005-01-01,Strategy,Electronic Arts,0.01,0.07,0.0,0.09
11115,Crysis: Maximum Edition,PC,2009-01-01,Shooter,Electronic Arts,0.0,0.07,0.0,0.09
11214,Might & Magic Heroes VII,PC,2015-01-01,Strategy,Ubisoft,0.0,0.08,0.0,0.09
11290,Battlefield 2,PC,2005-01-01,Shooter,Electronic Arts,0.0,0.07,0.0,0.08
11583,Assassin's Creed Chronicles,PS4,2016-01-01,Action,Ubisoft,0.01,0.05,0.01,0.08
11680,The Lord of the Rings: The Battle for Middle-Earth,PC,2004-01-01,Strategy,Electronic Arts,0.01,0.06,0.0,0.08
11843,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016-01-01,Action,Activision,0.04,0.02,0.0,0.07
12049,Assassin's Creed: Rogue,PC,2015-01-01,Action,Ubisoft,0.04,0.02,0.0,0.07
12068,Command & Conquer 3: Tiberium Wars,PC,2007-01-01,Strategy,Electronic Arts,0.0,0.06,0.0,0.07
12078,Toy Soldiers: War Chest,PS4,2015-01-01,Action,Ubisoft,0.06,0.0,0.0,0.07
12119,Just Dance: Disney Party 2,XOne,2015-01-01,Action,Ubisoft,0.05,0.01,0.0,0.07
12410,Call of Duty 2,PC,2005-01-01,Shooter,Activision,0.0,0.05,0.0,0.06
12525,Destiny: The Collection,PS4,2016-01-01,Shooter,Activision,0.01,0.04,0.0,0.06
12549,Create,PC,2010-01-01,Action,Electronic Arts,0.04,0.01,0.0,0.06
12581,TrackMania Turbo,XOne,2016-01-01,Action,Ubisoft,0.02,0.03,0.0,0.06
12657,The Saboteur,PC,2009-01-01,Action,Electronic Arts,0.0,0.05,0.0,0.06
12686,Harry Potter and the Sorcerer's Stone,PC,2001-01-01,Action,Electronic Arts,0.01,0.04,0.0,0.06
12831,Medal of Honor: Airborne,PC,2007-01-01,Shooter,Electronic Arts,0.0,0.04,0.0,0.05
12903,Tom Clancy's HAWX 2,PC,2010-01-01,Action,Ubisoft,0.0,0.04,0.0,0.05
12927,ZombiU,PS4,2016-01-01,Action,Ubisoft,0.0,0.04,0.01,0.05
12960,Toy Soldiers: War Chest,XOne,2015-01-01,Action,Ubisoft,0.05,0.0,0.0,0.05
13072,Child of Light,PS4,2014-01-01,Role-Playing,Ubisoft,0.0,0.01,0.04,0.05
13191,LEGO Indiana Jones 2: The Adventure Continues,PC,2009-01-01,Action,Activision,0.02,0.03,0.0,0.05
13252,Far Cry,PC,2004-01-01,Shooter,Ubisoft,0.0,0.04,0.0,0.05
13408,Wolfenstein,PC,2009-01-01,Shooter,Activision,0.01,0.03,0.0,0.05
13432,Avatar: The Game,PC,2009-01-01,Action,Ubisoft,0.0,0.04,0.0,0.05
13438,Plants vs. Zombies: Garden Warfare 2,PC,2016-01-01,Shooter,Electronic Arts,0.0,0.04,0.0,0.05
13485,Tom Clancy's HAWX,PC,2009-01-01,Action,Ubisoft,0.0,0.03,0.0,0.04
13632,Black & White,PC,2001-01-01,Strategy,Electronic Arts,0.0,0.04,0.0,0.04
13660,Heroes of Might and Magic V,PC,2006-01-01,Strategy,Ubisoft,0.0,0.03,0.0,0.04
13833,All Points Bulletin,PC,2010-01-01,Role-Playing,Electronic Arts,0.0,0.03,0.0,0.04
13876,Harry Potter and the Order of the Phoenix,PC,2007-01-01,Action,Electronic Arts,0.0,0.03,0.0,0.04
13907,Harry Potter and the Prisoner of Azkaban,PC,2004-01-01,Action,Electronic Arts,0.0,0.03,0.0,0.04
13996,Destiny: The Collection,XOne,2016-01-01,Shooter,Activision,0.01,0.02,0.0,0.04
14030,World in Conflict: Complete Edition,PC,2009-01-01,Strategy,Ubisoft,0.0,0.03,0.0,0.04
14085,Assassin's Creed Chronicles: China,PS4,2015-01-01,Action,Ubisoft,0.0,0.03,0.0,0.04
14091,Star Wars Jedi Knight: Jedi Academy,PC,2003-01-01,Shooter,Activision,0.0,0.03,0.0,0.04
14097,Might & Magic X: Legacy,PC,2014-01-01,Role-Playing,Ubisoft,0.0,0.03,0.0,0.04
14188,Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016-01-01,Action,Activision,0.02,0.01,0.0,0.03
14222,Call of Juarez: Bound in Blood,PC,2009-01-01,Shooter,Ubisoft,0.0,0.03,0.0,0.03
14241,Prince of Persia: The Forgotten Sands,PC,2010-01-01,Action,Ubisoft,0.0,0.03,0.0,0.03
14416,Harry Potter and the Half-Blood Prince,PC,2009-01-01,Action,Electronic Arts,0.0,0.03,0.0,0.03
14442,Transformers: Devastation,PC,2015-01-01,Action,Activision,0.0,0.03,0.0,0.03
14483,Resident Evil 4,PC,2007-01-01,Action,Ubisoft,0.0,0.02,0.0,0.03
14550,007: Quantum of Solace,PC,2008-01-01,Action,Activision,0.01,0.01,0.0,0.03
14589,Battlefield 1942: The WW II Anthology,PC,2004-01-01,Shooter,Electronic Arts,0.01,0.01,0.0,0.03
14630,Monsters vs. Aliens,PC,2009-01-01,Action,Activision,0.01,0.01,0.0,0.03
14658,Battlefield Vietnam,PC,2004-01-01,Shooter,Electronic Arts,0.0,0.02,0.0,0.03
14666,The Settlers II 10th Anniversary,PC,2006-01-01,Action,Ubisoft,0.0,0.02,0.0,0.03
14683,Ghostbusters (2016),PS4,2016-01-01,Action,Activision,0.02,0.0,0.0,0.03
14698,Prince of Persia (2008),PC,2008-01-01,Action,Ubisoft,0.0,0.02,0.0,0.03
14786,Battlefield 2142,PC,2006-01-01,Shooter,Electronic Arts,0.0,0.02,0.0,0.03
14837,The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015-01-01,Action,Activision,0.0,0.02,0.0,0.03
14857,The Lord of the Rings: Conquest,PC,2009-01-01,Action,Electronic Arts,0.0,0.02,0.0,0.03
14875,Battlefield 1942,PC,2002-01-01,Shooter,Electronic Arts,0.01,0.01,0.0,0.03
14878,X-Men Origins: Wolverine - Uncaged Edition,PC,2009-01-01,Action,Activision,0.02,0.0,0.0,0.03
14916,Ghostbusters (2016),XOne,2016-01-01,Action,Activision,0.02,0.0,0.0,0.02
14943,The Settlers: Rise of an Empire,PC,2007-01-01,Strategy,Ubisoft,0.01,0.01,0.0,0.02
15007,Tom Clancy's Rainbow Six: Vegas 2,PC,2008-01-01,Shooter,Ubisoft,0.0,0.02,0.0,0.02
15026,Brothers in Arms: Hell's Highway,PC,2008-01-01,Shooter,Ubisoft,0.0,0.02,0.0,0.02
15035,Kung Fu Panda,PC,2008-01-01,Action,Activision,0.0,0.02,0.0,0.02
15090,Tom Clancy's EndWar,PC,2009-01-01,Strategy,Ubisoft,0.0,0.02,0.0,0.02
15092,Left 4 Dead,PC,2008-01-01,Shooter,Electronic Arts,0.0,0.02,0.0,0.02
15130,Ice Age: Dawn of the Dinosaurs,PC,2009-01-01,Action,Activision,0.02,0.0,0.0,0.02
15141,Plants vs. Zombies: Garden Warfare,PC,2014-01-01,Shooter,Electronic Arts,0.0,0.02,0.0,0.02
15185,Quake 4,PC,2005-01-01,Shooter,Activision,0.0,0.02,0.0,0.02
15209,The Lord of the Rings: The Battle for Middle-Earth II,PC,2006-01-01,Strategy,Electronic Arts,0.01,0.01,0.0,0.02
15232,Fallout Trilogy,PC,2004-01-01,Role-Playing,Ubisoft,0.0,0.02,0.0,0.02
15235,Command & Conquer 3: Deluxe Edition,PC,2008-01-01,Strategy,Electronic Arts,0.0,0.02,0.0,0.02
15260,Spider-Man: Web of Shadows,PC,2008-01-01,Action,Activision,0.0,0.02,0.0,0.02
15275,Command & Conquer: The First Decade,PC,2006-01-01,Strategy,Electronic Arts,0.01,0.01,0.0,0.02
15332,Hellgate: London,PC,2007-01-01,Role-Playing,Electronic Arts,0.0,0.02,0.0,0.02
15465,Crysis: Warhead,PC,2008-01-01,Shooter,Electronic Arts,0.0,0.02,0.0,0.02
15483,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PC,2009-01-01,Shooter,Activision,0.02,0.0,0.0,0.02
15575,The Crew: Wild Run,PC,2015-01-01,Action,Ubisoft,0.0,0.02,0.0,0.02
15604,Command & Conquer 3: Kane's Wrath,PC,2008-01-01,Strategy,Electronic Arts,0.0,0.01,0.0,0.02
15608,James Bond 007: Blood Stone,PC,2010-01-01,Shooter,Activision,0.02,0.0,0.0,0.02
15615,The Crew: Wild Run,XOne,2015-01-01,Action,Ubisoft,0.0,0.02,0.0,0.02
15702,Lost: Via Domus,PC,2008-01-01,Action,Ubisoft,0.0,0.01,0.0,0.02
15748,LEGO Star Wars II: The Original Trilogy,PC,2006-01-01,Action,Activision,0.0,0.01,0.0,0.02
15821,Command & Conquer 4: Tiberian Twilight,PC,2010-01-01,Strategy,Electronic Arts,0.0,0.01,0.0,0.02
15883,Command & Conquer Collection,PC,2003-01-01,Strategy,Electronic Arts,0.01,0.0,0.0,0.02
15898,Enemy Territory: Quake Wars,PC,2007-01-01,Shooter,Activision,0.01,0.0,0.0,0.02
16013,Call of Juarez,PC,2006-01-01,Shooter,Ubisoft,0.0,0.01,0.0,0.01
16146,Harry Potter and the Chamber of Secrets,PC,2002-01-01,Action,Electronic Arts,0.0,0.01,0.0,0.01
16189,BattleForge,PC,2009-01-01,Strategy,Electronic Arts,0.0,0.01,0.0,0.01
16224,Spider-Man: Friend or Foe,PC,2007-01-01,Action,Activision,0.01,0.0,0.0,0.01
16236,Marvel: Ultimate Alliance,PC,2006-01-01,Role-Playing,Activision,0.01,0.0,0.0,0.01
16342,Command & Conquer Renegade,PC,2002-01-01,Shooter,Electronic Arts,0.0,0.01,0.0,0.01
16389,TrackMania Turbo,PC,2016-01-01,Action,Ubisoft,0.0,0.01,0.0,0.01
16409,The Amazing Spider-Man 2 (2014),PC,2014-01-01,Action,Activision,0.0,0.01,0.0,0.01
16447,Madagascar: Escape 2 Africa,PC,2008-01-01,Action,Activision,0.01,0.0,0.0,0.01
16451,Assassin's Creed Chronicles,XOne,2016-01-01,Action,Ubisoft,0.0,0.01,0.0,0.01
16504,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC,2010-01-01,Shooter,Activision,0.01,0.0,0.0,0.01
16540,Transformers: Fall of Cybertron,PC,2012-01-01,Action,Activision,0.01,0.0,0.0,0.01
16542,Spore Galactic Adventures,PC,2009-01-01,Strategy,Electronic Arts,0.0,0.01,0.0,0.01
