,date,uid,sku,price,device,gender,country,age
31,2018-01-13,24040897,sku_four_599,599,android,F,USA,23
32,2018-01-17,24040897,sku_two_299,299,android,F,USA,23
33,2017-08-02,25494681,sku_three_499,499,android,F,CAN,15
34,2017-01-12,88736154,sku_five_899,899,android,F,BRA,19
35,2017-03-26,88736154,sku_three_499,499,android,F,BRA,19
36,2017-11-17,88736154,sku_two_299,299,android,F,BRA,19
37,2018-01-14,88736154,sku_four_599,599,android,F,BRA,19
38,2018-04-08,88736154,sku_four_599,599,android,F,BRA,19
39,2017-05-25,20028373,sku_six_1299,299,android,M,USA,21
40,2017-07-19,20028373,sku_four_599,599,android,M,USA,21
41,2017-11-04,20028373,sku_four_599,599,android,M,USA,21
42,2016-12-01,61859775,sku_three_499,499,android,F,DEU,16
43,2017-03-25,61859775,sku_one_199,199,android,F,DEU,16
44,2017-04-05,61859775,sku_two_299,299,android,F,DEU,16
45,2017-08-16,61859775,sku_one_199,199,android,F,DEU,16
46,2017-12-08,61859775,sku_two_299,299,android,F,DEU,16
47,2017-03-04,85581663,sku_four_599,599,android,F,USA,35
48,2018-03-03,85581663,sku_four_599,599,android,F,USA,35
49,2016-11-25,94805819,sku_one_199,199,android,F,USA,26
50,2016-12-27,94805819,sku_two_299,299,android,F,USA,26
51,2017-08-10,94805819,sku_five_899,899,android,F,USA,26
52,2017-09-18,94805819,sku_two_299,299,android,F,USA,26
53,2017-10-21,94805819,sku_seven_1499,499,android,F,USA,26
54,2018-04-20,94805819,sku_three_499,499,android,F,USA,26
55,2017-01-06,97477450,sku_two_299,299,iOS,F,BRA,23
56,2017-03-01,97477450,sku_one_199,199,iOS,F,BRA,23
57,2017-09-23,97477450,sku_four_599,599,iOS,F,BRA,23
58,2016-05-12,42175154,sku_one_199,199,iOS,M,TUR,42
59,2016-05-24,42175154,sku_three_499,499,iOS,M,TUR,42
60,2016-05-25,42175154,sku_seven_1499,499,iOS,M,TUR,42
61,2016-08-17,42175154,sku_one_199,199,iOS,M,TUR,42
62,2017-05-17,42175154,sku_two_299,299,iOS,M,TUR,42
63,2017-05-31,42175154,sku_one_199,199,iOS,M,TUR,42
64,2017-06-04,42175154,sku_one_199,199,iOS,M,TUR,42
65,2017-08-25,42175154,sku_four_599,599,iOS,M,TUR,42
66,2017-11-04,42175154,sku_eight_2099,99,iOS,M,TUR,42
67,2018-02-02,42175154,sku_two_299,299,iOS,M,TUR,42
68,2017-09-08,73506150,sku_three_499,499,android,M,USA,17
69,2018-01-28,73506150,sku_one_199,199,android,M,USA,17
70,2018-02-11,73506150,sku_four_599,599,android,M,USA,17
71,2016-07-28,65326997,sku_three_499,499,iOS,M,USA,15
72,2016-08-13,65326997,sku_eight_2099,99,iOS,M,USA,15
73,2016-11-10,65326997,sku_four_599,599,iOS,M,USA,15
74,2016-12-27,65326997,sku_three_499,499,iOS,M,USA,15
75,2017-01-21,65326997,sku_seven_1499,499,iOS,M,USA,15
76,2017-06-14,65326997,sku_one_199,199,iOS,M,USA,15
77,2017-06-17,65326997,sku_five_899,899,iOS,M,USA,15
78,2017-10-15,65326997,sku_two_299,299,iOS,M,USA,15
79,2017-12-09,65326997,sku_three_499,499,iOS,M,USA,15
80,2018-01-10,65326997,sku_six_1299,299,iOS,M,USA,15
81,2018-02-06,65326997,sku_three_499,499,iOS,M,USA,15
82,2018-02-08,65326997,sku_one_199,199,iOS,M,USA,15
83,2018-03-02,65326997,sku_three_499,499,iOS,M,USA,15
84,2018-03-10,65326997,sku_three_499,499,iOS,M,USA,15
85,2017-07-02,59336220,sku_four_599,599,android,M,DEU,15
86,2017-10-13,59336220,sku_seven_1499,499,android,M,DEU,15
87,2017-07-02,73194768,sku_four_599,599,android,M,BRA,40
88,2017-08-21,73194768,sku_two_299,299,android,M,BRA,40
89,2017-11-24,73194768,sku_four_599,599,android,M,BRA,40
90,2017-11-28,73194768,sku_four_599,599,android,M,BRA,40
91,2018-01-18,73194768,sku_eight_2099,99,android,M,BRA,40
92,2016-12-08,45588501,sku_four_599,599,android,F,USA,49
93,2017-09-26,45588501,sku_four_599,599,android,F,USA,49
94,2017-11-22,45588501,sku_four_599,599,android,F,USA,49
95,2018-01-01,45588501,sku_one_199,199,android,F,USA,49
96,2018-04-02,45588501,sku_two_299,299,android,F,USA,49
97,2015-09-30,99750472,sku_two_299,299,android,F,TUR,17
98,2016-01-04,99750472,sku_four_599,599,android,F,TUR,17
99,2016-07-29,99750472,sku_two_299,299,android,F,TUR,17
100,2016-08-04,99750472,sku_three_499,499,android,F,TUR,17
101,2016-09-20,99750472,sku_eight_2099,99,android,F,TUR,17
102,2016-10-19,99750472,sku_one_199,199,android,F,TUR,17
103,2016-11-14,99750472,sku_one_199,199,android,F,TUR,17
104,2017-07-01,99750472,sku_four_599,599,android,F,TUR,17
105,2018-02-10,99750472,sku_three_499,499,android,F,TUR,17
106,2017-12-29,91907334,sku_three_499,499,iOS,F,USA,23
107,2018-02-14,91907334,sku_two_299,299,iOS,F,USA,23
108,2018-03-11,91907334,sku_four_599,599,iOS,F,USA,23
109,2017-10-27,11317978,sku_three_499,499,android,M,USA,34
110,2018-01-23,11317978,sku_one_199,199,android,M,USA,34
111,2017-11-18,64385442,sku_four_599,599,iOS,F,USA,18
112,2016-02-04,45291836,sku_four_599,599,iOS,M,TUR,42
113,2016-03-04,45291836,sku_four_599,599,iOS,M,TUR,42
114,2016-12-02,45291836,sku_seven_1499,499,iOS,M,TUR,42
115,2017-01-23,45291836,sku_three_499,499,iOS,M,TUR,42
116,2017-02-10,45291836,sku_two_299,299,iOS,M,TUR,42
117,2017-09-30,45291836,sku_four_599,599,iOS,M,TUR,42
118,2017-11-16,45291836,sku_two_299,299,iOS,M,TUR,42
119,2018-01-17,45291836,sku_one_199,199,iOS,M,TUR,42
120,2018-02-25,45291836,sku_one_199,199,iOS,M,TUR,42
121,2017-10-07,68561600,sku_three_499,499,android,F,USA,34
122,2017-11-06,68561600,sku_eight_2099,99,android,F,USA,34
123,2018-04-04,68561600,sku_seven_1499,499,android,F,USA,34
124,2017-01-16,80470829,sku_four_599,599,android,M,USA,16
125,2017-06-30,80470829,sku_two_299,299,android,M,USA,16
126,2017-08-21,80470829,sku_two_299,299,android,M,USA,16
127,2017-10-11,80470829,sku_five_899,899,android,M,USA,16
128,2017-09-02,28815740,sku_one_199,199,iOS,M,USA,18
129,2017-09-12,28815740,sku_two_299,299,iOS,M,USA,18
130,2017-12-27,28815740,sku_four_599,599,iOS,M,USA,18
131,2018-01-17,28815740,sku_two_299,299,iOS,M,USA,18
132,2018-03-25,28815740,sku_four_599,599,iOS,M,USA,18
133,2018-03-30,28815740,sku_eight_2099,99,iOS,M,USA,18
134,2018-04-16,28815740,sku_two_299,299,iOS,M,USA,18
135,2016-12-18,81375196,sku_three_499,499,android,F,FRA,17
136,2017-02-18,81375196,sku_four_599,599,android,F,FRA,17
137,2017-05-06,81375196,sku_one_199,199,android,F,FRA,17
138,2017-05-11,81375196,sku_three_499,499,android,F,FRA,17
139,2017-06-12,81375196,sku_two_299,299,android,F,FRA,17
140,2017-09-30,81375196,sku_three_499,499,android,F,FRA,17
141,2017-10-13,81375196,sku_three_499,499,android,F,FRA,17
142,2018-01-01,81375196,sku_four_599,599,android,F,FRA,17
143,2018-02-23,81375196,sku_three_499,499,android,F,FRA,17
144,2018-03-14,81375196,sku_one_199,199,android,F,FRA,17
145,2017-08-10,77965862,sku_one_199,199,iOS,F,FRA,40
146,2018-02-15,77965862,sku_three_499,499,iOS,F,FRA,40
147,2018-03-17,77965862,sku_four_599,599,iOS,F,FRA,40
148,2018-03-21,77965862,sku_one_199,199,iOS,F,FRA,40
149,2018-04-08,77965862,sku_three_499,499,iOS,F,FRA,40
150,2017-06-07,55317289,sku_two_299,299,android,M,FRA,32
151,2017-06-25,55317289,sku_two_299,299,android,M,FRA,32
152,2017-11-06,55317289,sku_one_199,199,android,M,FRA,32
153,2017-11-23,55317289,sku_three_499,499,android,M,FRA,32
154,2016-03-30,94055095,sku_four_599,599,iOS,F,BRA,16
155,2016-06-28,94055095,sku_one_199,199,iOS,F,BRA,16
156,2016-07-08,94055095,sku_two_299,299,iOS,F,BRA,16
157,2016-09-10,94055095,sku_three_499,499,iOS,F,BRA,16
158,2017-02-15,94055095,sku_one_199,199,iOS,F,BRA,16
159,2017-04-05,94055095,sku_one_199,199,iOS,F,BRA,16
160,2017-07-15,94055095,sku_one_199,199,iOS,F,BRA,16
161,2017-12-26,94055095,sku_four_599,599,iOS,F,BRA,16
162,2018-01-17,94055095,sku_two_299,299,iOS,F,BRA,16
163,2016-08-06,88221628,sku_six_1299,299,iOS,F,USA,16
164,2016-08-09,88221628,sku_three_499,499,iOS,F,USA,16
165,2016-08-24,88221628,sku_two_299,299,iOS,F,USA,16
166,2017-05-22,88221628,sku_eight_2099,99,iOS,F,USA,16
167,2017-09-23,88221628,sku_two_299,299,iOS,F,USA,16
168,2017-12-30,88221628,sku_seven_1499,499,iOS,F,USA,16
169,2017-09-13,31430489,sku_one_199,199,android,F,TUR,16
170,2018-02-22,31430489,sku_two_299,299,android,F,TUR,16
171,2018-03-10,31430489,sku_three_499,499,android,F,TUR,16
172,2018-03-19,31430489,sku_five_899,899,android,F,TUR,16
173,2015-10-28,69627745,sku_one_199,199,android,F,BRA,18
174,2015-11-17,69627745,sku_one_199,199,android,F,BRA,18
175,2015-11-22,69627745,sku_four_599,599,android,F,BRA,18
176,2016-03-15,69627745,sku_three_499,499,android,F,BRA,18
177,2016-03-17,69627745,sku_eight_2099,99,android,F,BRA,18
178,2016-06-28,69627745,sku_eight_2099,99,android,F,BRA,18
179,2017-05-26,69627745,sku_two_299,299,android,F,BRA,18
180,2017-06-18,69627745,sku_one_199,199,android,F,BRA,18
181,2017-07-21,69627745,sku_four_599,599,android,F,BRA,18
182,2017-07-25,69627745,sku_three_499,499,android,F,BRA,18
183,2017-10-14,69627745,sku_one_199,199,android,F,BRA,18
184,2017-10-20,69627745,sku_three_499,499,android,F,BRA,18
185,2017-12-30,69627745,sku_one_199,199,android,F,BRA,18
186,2018-03-30,55123312,sku_two_299,299,iOS,M,USA,25
187,2016-12-14,70272555,sku_five_899,899,android,M,USA,19
188,2017-05-30,70272555,sku_one_199,199,android,M,USA,19
189,2017-06-12,70272555,sku_one_199,199,android,M,USA,19
190,2018-01-11,70272555,sku_two_299,299,android,M,USA,19
191,2017-12-26,17706865,sku_four_599,599,iOS,M,USA,32
192,2018-03-29,17706865,sku_five_899,899,iOS,M,USA,32
193,2017-11-15,97665653,sku_one_199,199,iOS,F,USA,30
194,2017-03-23,22238074,sku_four_599,599,android,M,DEU,15
195,2017-07-27,22238074,sku_four_599,599,android,M,DEU,15
196,2016-12-31,80938684,sku_three_499,499,iOS,F,DEU,17
197,2017-03-27,80938684,sku_three_499,499,iOS,F,DEU,17
198,2017-04-24,80938684,sku_two_299,299,iOS,F,DEU,17
199,2017-05-25,80938684,sku_two_299,299,iOS,F,DEU,17
200,2017-06-16,80938684,sku_six_1299,299,iOS,F,DEU,17
201,2018-01-04,80938684,sku_three_499,499,iOS,F,DEU,17
202,2016-08-23,40161615,sku_four_599,599,iOS,M,BRA,34
203,2016-09-17,40161615,sku_two_299,299,iOS,M,BRA,34
204,2016-10-14,40161615,sku_one_199,199,iOS,M,BRA,34
205,2017-02-27,40161615,sku_two_299,299,iOS,M,BRA,34
206,2017-06-26,40161615,sku_five_899,899,iOS,M,BRA,34
207,2017-10-22,40161615,sku_three_499,499,iOS,M,BRA,34
208,2018-03-03,40161615,sku_one_199,199,iOS,M,BRA,34
209,2017-08-16,84852701,sku_one_199,199,iOS,M,TUR,19
210,2017-08-26,84852701,sku_three_499,499,iOS,M,TUR,19
211,2017-10-07,84852701,sku_one_199,199,iOS,M,TUR,19
212,2016-07-11,35008108,sku_three_499,499,iOS,M,USA,25
213,2016-12-04,35008108,sku_five_899,899,iOS,M,USA,25
214,2017-03-10,35008108,sku_eight_2099,99,iOS,M,USA,25
215,2017-05-23,35008108,sku_two_299,299,iOS,M,USA,25
216,2017-09-29,35008108,sku_two_299,299,iOS,M,USA,25
217,2018-04-18,35008108,sku_two_299,299,iOS,M,USA,25
218,2017-08-12,83789648,sku_eight_2099,99,iOS,F,USA,20
219,2015-08-04,68568102,sku_six_1299,299,android,M,BRA,30
220,2016-04-02,68568102,sku_one_199,199,android,M,BRA,30
221,2016-06-08,68568102,sku_two_299,299,android,M,BRA,30
222,2016-06-16,68568102,sku_three_499,499,android,M,BRA,30
223,2016-07-29,68568102,sku_two_299,299,android,M,BRA,30
224,2017-03-23,68568102,sku_five_899,899,android,M,BRA,30
225,2017-12-10,68568102,sku_six_1299,299,android,M,BRA,30
226,2017-12-14,68568102,sku_four_599,599,android,M,BRA,30
227,2018-03-06,68568102,sku_five_899,899,android,M,BRA,30
228,2018-03-25,68568102,sku_one_199,199,android,M,BRA,30
229,2016-04-11,88263172,sku_five_899,899,iOS,M,USA,16
230,2016-06-24,88263172,sku_one_199,199,iOS,M,USA,16
231,2016-10-12,88263172,sku_one_199,199,iOS,M,USA,16
232,2016-12-26,88263172,sku_two_299,299,iOS,M,USA,16
233,2017-04-22,88263172,sku_three_499,499,iOS,M,USA,16
234,2017-12-24,88263172,sku_five_899,899,iOS,M,USA,16
235,2016-10-19,25218349,sku_seven_1499,499,iOS,F,USA,17
236,2016-11-01,25218349,sku_four_599,599,iOS,F,USA,17
237,2017-01-01,25218349,sku_one_199,199,iOS,F,USA,17
238,2018-02-09,25218349,sku_four_599,599,iOS,F,USA,17
239,2018-04-12,25218349,sku_one_199,199,iOS,F,USA,17
240,2016-03-02,99381970,sku_three_499,499,iOS,F,USA,22
241,2016-05-26,99381970,sku_one_199,199,iOS,F,USA,22
242,2016-08-01,99381970,sku_three_499,499,iOS,F,USA,22
243,2016-09-11,99381970,sku_three_499,499,iOS,F,USA,22
244,2017-01-13,99381970,sku_two_299,299,iOS,F,USA,22
245,2017-03-06,99381970,sku_two_299,299,iOS,F,USA,22
246,2017-05-25,99381970,sku_two_299,299,iOS,F,USA,22
247,2017-07-07,99381970,sku_four_599,599,iOS,F,USA,22
248,2017-10-10,99381970,sku_three_499,499,iOS,F,USA,22
249,2018-03-15,99381970,sku_three_499,499,iOS,F,USA,22
250,2016-09-09,33097171,sku_one_199,199,android,M,FRA,21
251,2016-11-28,33097171,sku_one_199,199,android,M,FRA,21
252,2016-12-23,33097171,sku_one_199,199,android,M,FRA,21
253,2017-06-07,33097171,sku_three_499,499,android,M,FRA,21
254,2017-06-18,33097171,sku_two_299,299,android,M,FRA,21
255,2017-07-30,33097171,sku_one_199,199,android,M,FRA,21
256,2017-05-03,84847578,sku_five_899,899,iOS,M,USA,50
257,2017-05-10,84847578,sku_four_599,599,iOS,M,USA,50
258,2017-07-29,84847578,sku_two_299,299,iOS,M,USA,50
259,2017-09-30,84847578,sku_one_199,199,iOS,M,USA,50
260,2018-02-10,57346032,sku_three_499,499,android,F,USA,19
261,2018-04-02,50706116,sku_eight_2099,99,android,M,DEU,26
262,2016-10-26,88114512,sku_three_499,499,android,F,BRA,37
263,2016-11-16,88114512,sku_two_299,299,android,F,BRA,37
264,2017-04-24,88114512,sku_three_499,499,android,F,BRA,37
265,2017-06-15,88114512,sku_two_299,299,android,F,BRA,37
266,2017-07-18,88114512,sku_two_299,299,android,F,BRA,37
267,2017-08-04,88114512,sku_two_299,299,android,F,BRA,37
268,2017-11-19,88114512,sku_one_199,199,android,F,BRA,37
269,2018-03-19,88114512,sku_two_299,299,android,F,BRA,37
270,2018-03-23,88114512,sku_six_1299,299,android,F,BRA,37
271,2017-05-14,67779187,sku_one_199,199,android,M,CAN,15
272,2017-06-23,67779187,sku_three_499,499,android,M,CAN,15
273,2017-06-30,67779187,sku_three_499,499,android,M,CAN,15
274,2018-01-30,67779187,sku_four_599,599,android,M,CAN,15
275,2018-04-19,67779187,sku_two_299,299,android,M,CAN,15
276,2016-09-29,66357262,sku_four_599,599,android,F,TUR,21
277,2017-04-08,66357262,sku_eight_2099,99,android,F,TUR,21
278,2017-08-28,66357262,sku_four_599,599,android,F,TUR,21
279,2017-10-17,66357262,sku_three_499,499,android,F,TUR,21
280,2018-02-12,66357262,sku_five_899,899,android,F,TUR,21
281,2017-01-31,96523745,sku_five_899,899,android,M,CAN,20
282,2017-03-14,96523745,sku_six_1299,299,android,M,CAN,20
283,2017-03-18,96523745,sku_four_599,599,android,M,CAN,20
284,2017-05-14,96523745,sku_five_899,899,android,M,CAN,20
285,2017-07-15,96523745,sku_two_299,299,android,M,CAN,20
286,2017-08-01,96523745,sku_three_499,499,android,M,CAN,20
287,2017-08-09,96523745,sku_four_599,599,android,M,CAN,20
288,2017-11-02,96523745,sku_six_1299,299,android,M,CAN,20
289,2017-12-21,96523745,sku_one_199,199,android,M,CAN,20
290,2017-11-23,78578516,sku_four_599,599,android,F,BRA,30
291,2018-02-16,78578516,sku_four_599,599,android,F,BRA,30
292,2018-03-12,78578516,sku_seven_1499,499,android,F,BRA,30
293,2016-10-28,48200251,sku_four_599,599,iOS,F,DEU,16
294,2017-01-12,48200251,sku_three_499,499,iOS,F,DEU,16
295,2017-07-09,48200251,sku_one_199,199,iOS,F,DEU,16
296,2017-10-15,48200251,sku_six_1299,299,iOS,F,DEU,16
297,2017-11-11,48200251,sku_three_499,499,iOS,F,DEU,16
298,2018-03-12,48200251,sku_two_299,299,iOS,F,DEU,16
299,2018-04-07,48200251,sku_three_499,499,iOS,F,DEU,16
300,2018-04-10,48200251,sku_three_499,499,iOS,F,DEU,16
301,2016-07-31,93860850,sku_one_199,199,iOS,M,DEU,23
302,2017-09-11,93860850,sku_four_599,599,iOS,M,DEU,23
303,2018-02-06,93860850,sku_one_199,199,iOS,M,DEU,23
304,2017-09-11,58092686,sku_four_599,599,iOS,M,TUR,16
305,2017-07-15,98103218,sku_three_499,499,android,F,USA,18
306,2017-08-15,60221388,sku_three_499,499,android,F,CAN,18
307,2018-01-12,60221388,sku_four_599,599,android,F,CAN,18
308,2017-02-18,96783117,sku_eight_2099,99,iOS,M,USA,21
309,2017-10-05,96783117,sku_one_199,199,iOS,M,USA,21
310,2017-10-09,96783117,sku_two_299,299,iOS,M,USA,21
311,2017-12-31,96783117,sku_four_599,599,iOS,M,USA,21
312,2018-03-19,96783117,sku_three_499,499,iOS,M,USA,21
313,2017-03-01,25377986,sku_three_499,499,android,F,BRA,26
314,2017-06-24,25377986,sku_two_299,299,android,F,BRA,26
315,2017-07-14,25377986,sku_seven_1499,499,android,F,BRA,26
316,2017-08-07,25377986,sku_three_499,499,android,F,BRA,26
317,2017-09-12,25377986,sku_five_899,899,android,F,BRA,26
318,2017-05-07,97103221,sku_two_299,299,android,F,BRA,24
319,2017-10-19,97103221,sku_three_499,499,android,F,BRA,24
320,2017-11-17,97103221,sku_two_299,299,android,F,BRA,24
321,2017-12-31,97103221,sku_four_599,599,android,F,BRA,24
322,2018-01-10,97103221,sku_two_299,299,android,F,BRA,24
323,2018-01-20,97103221,sku_four_599,599,android,F,BRA,24
324,2015-11-13,37698633,sku_four_599,599,android,F,USA,16
325,2016-07-06,37698633,sku_two_299,299,android,F,USA,16
326,2016-08-25,37698633,sku_four_599,599,android,F,USA,16
327,2016-11-18,37698633,sku_one_199,199,android,F,USA,16
328,2016-12-26,37698633,sku_one_199,199,android,F,USA,16
329,2017-03-06,37698633,sku_one_199,199,android,F,USA,16
330,2017-03-14,37698633,sku_two_299,299,android,F,USA,16
331,2017-05-06,37698633,sku_seven_1499,499,android,F,USA,16
332,2017-06-11,49163184,sku_three_499,499,android,F,USA,31
333,2017-06-20,49163184,sku_three_499,499,android,F,USA,31
334,2017-09-05,49163184,sku_four_599,599,android,F,USA,31
335,2017-11-11,49163184,sku_three_499,499,android,F,USA,31
336,2016-06-08,12398223,sku_eight_2099,99,android,M,BRA,18
337,2016-07-10,12398223,sku_three_499,499,android,M,BRA,18
338,2016-12-01,12398223,sku_three_499,499,android,M,BRA,18
339,2016-12-08,12398223,sku_eight_2099,99,android,M,BRA,18
340,2016-12-26,12398223,sku_two_299,299,android,M,BRA,18
341,2017-01-01,12398223,sku_one_199,199,android,M,BRA,18
342,2017-05-18,12398223,sku_seven_1499,499,android,M,BRA,18
343,2017-08-18,12398223,sku_five_899,899,android,M,BRA,18
344,2017-09-28,12398223,sku_seven_1499,499,android,M,BRA,18
345,2017-12-22,12398223,sku_eight_2099,99,android,M,BRA,18
346,2018-01-06,12398223,sku_one_199,199,android,M,BRA,18
347,2018-03-23,12398223,sku_three_499,499,android,M,BRA,18
348,2016-12-05,16549717,sku_three_499,499,iOS,M,USA,15
349,2016-12-14,16549717,sku_one_199,199,iOS,M,USA,15
350,2017-03-10,16549717,sku_two_299,299,iOS,M,USA,15
351,2017-03-28,16549717,sku_four_599,599,iOS,M,USA,15
352,2017-07-14,16549717,sku_two_299,299,iOS,M,USA,15
353,2017-07-29,16549717,sku_two_299,299,iOS,M,USA,15
354,2017-09-13,16549717,sku_two_299,299,iOS,M,USA,15
355,2017-12-30,67016581,sku_three_499,499,iOS,F,USA,42
356,2018-01-14,67016581,sku_one_199,199,iOS,F,USA,42
357,2017-01-31,67056983,sku_one_199,199,android,F,BRA,20
358,2017-04-28,67056983,sku_one_199,199,android,F,BRA,20
359,2017-07-12,67056983,sku_two_299,299,android,F,BRA,20
360,2017-08-15,67056983,sku_one_199,199,android,F,BRA,20
361,2017-09-14,67056983,sku_two_299,299,android,F,BRA,20
362,2018-04-13,67056983,sku_three_499,499,android,F,BRA,20
363,2017-01-30,94741483,sku_one_199,199,android,M,BRA,16
364,2017-06-18,94741483,sku_five_899,899,android,M,BRA,16
365,2017-08-29,94741483,sku_three_499,499,android,M,BRA,16
366,2016-06-11,35243889,sku_two_299,299,iOS,M,USA,22
367,2016-08-07,35243889,sku_one_199,199,iOS,M,USA,22
368,2016-11-29,35243889,sku_three_499,499,iOS,M,USA,22
369,2016-11-30,35243889,sku_three_499,499,iOS,M,USA,22
370,2017-06-07,35243889,sku_one_199,199,iOS,M,USA,22
371,2017-07-14,35243889,sku_four_599,599,iOS,M,USA,22
372,2017-07-18,35243889,sku_three_499,499,iOS,M,USA,22
373,2017-08-05,35243889,sku_three_499,499,iOS,M,USA,22
374,2018-02-13,35243889,sku_seven_1499,499,iOS,M,USA,22
375,2018-04-19,35243889,sku_two_299,299,iOS,M,USA,22
376,2016-07-31,50692518,sku_two_299,299,iOS,F,USA,17
377,2016-08-08,50692518,sku_three_499,499,iOS,F,USA,17
378,2016-08-10,50692518,sku_seven_1499,499,iOS,F,USA,17
379,2016-10-06,50692518,sku_two_299,299,iOS,F,USA,17
380,2016-10-07,50692518,sku_four_599,599,iOS,F,USA,17
381,2016-10-25,50692518,sku_three_499,499,iOS,F,USA,17
382,2017-02-16,50692518,sku_two_299,299,iOS,F,USA,17
383,2017-03-03,50692518,sku_seven_1499,499,iOS,F,USA,17
384,2017-07-11,50692518,sku_four_599,599,iOS,F,USA,17
385,2017-12-20,50692518,sku_four_599,599,iOS,F,USA,17
386,2018-01-13,50692518,sku_three_499,499,iOS,F,USA,17
387,2018-03-03,99911915,sku_two_299,299,android,F,USA,15
388,2015-05-17,93873145,sku_three_499,499,iOS,M,USA,22
389,2015-05-24,93873145,sku_three_499,499,iOS,M,USA,22
390,2015-10-18,93873145,sku_one_199,199,iOS,M,USA,22
391,2016-01-15,93873145,sku_one_199,199,iOS,M,USA,22
392,2016-12-16,93873145,sku_two_299,299,iOS,M,USA,22
393,2017-04-07,93873145,sku_one_199,199,iOS,M,USA,22
394,2017-04-09,93873145,sku_four_599,599,iOS,M,USA,22
395,2017-05-10,93873145,sku_four_599,599,iOS,M,USA,22
396,2017-09-19,93873145,sku_one_199,199,iOS,M,USA,22
397,2018-03-29,31315573,sku_six_1299,299,android,M,DEU,31
398,2018-04-05,31315573,sku_two_299,299,android,M,DEU,31
399,2018-04-14,31315573,sku_three_499,499,android,M,DEU,31
400,2017-10-13,61537627,sku_four_599,599,iOS,M,USA,21
401,2017-11-19,61537627,sku_four_599,599,iOS,M,USA,21
402,2018-01-20,61537627,sku_four_599,599,iOS,M,USA,21
403,2018-03-23,61537627,sku_two_299,299,iOS,M,USA,21
404,2017-11-15,93708041,sku_one_199,199,android,M,BRA,18
405,2018-02-20,93708041,sku_two_299,299,android,M,BRA,18
406,2016-05-28,14432678,sku_one_199,199,iOS,F,BRA,28
407,2016-07-13,14432678,sku_two_299,299,iOS,F,BRA,28
408,2016-12-28,14432678,sku_four_599,599,iOS,F,BRA,28
409,2017-04-29,14432678,sku_one_199,199,iOS,F,BRA,28
410,2017-05-25,14432678,sku_three_499,499,iOS,F,BRA,28
411,2018-01-25,14432678,sku_three_499,499,iOS,F,BRA,28
412,2018-02-08,21033312,sku_one_199,199,iOS,F,BRA,17
413,2017-06-24,94104511,sku_one_199,199,iOS,M,DEU,25
414,2017-06-25,94104511,sku_three_499,499,iOS,M,DEU,25
415,2017-11-12,94104511,sku_five_899,899,iOS,M,DEU,25
416,2018-02-23,94104511,sku_one_199,199,iOS,M,DEU,25
417,2018-04-18,94104511,sku_three_499,499,iOS,M,DEU,25
418,2017-08-21,89325616,sku_five_899,899,android,M,USA,15
419,2017-09-20,89325616,sku_one_199,199,android,M,USA,15
420,2017-11-07,89325616,sku_one_199,199,android,M,USA,15
421,2017-11-09,89325616,sku_four_599,599,android,M,USA,15
422,2017-11-21,89325616,sku_two_299,299,android,M,USA,15
423,2018-01-27,89325616,sku_three_499,499,android,M,USA,15
424,2018-03-21,89325616,sku_seven_1499,499,android,M,USA,15
425,2015-09-09,19577419,sku_seven_1499,499,android,M,USA,42
426,2016-05-06,19577419,sku_two_299,299,android,M,USA,42
